model,model_id,task,task_short,task_type,acc,acc_percent,acc_stderr,acc_stderr_percent,n_samples_effective,alias,source_result_json
DE-Trans-Init (Paper-Tokenizer),wechsel-init-paper-spm32k-deu_Latn,global_mmlu_full_de_abstract_algebra,abstract_algebra,subtask,0.21,21.0,0.040936018074033256,4.093601807403326,100,  - global_mmlu_full_de_abstract_algebra,logs/eval_pipeline/runs/2026-02-17_01-46-49/evaluation/results/universal/clt_multi_mmlu_paper_deu_Latn/wechsel-init-paper-spm32k-deu_Latn_global_mmlu_de_0shot_20260217_022407/__netscratch__nrauscher__projects__BA-hydra__evaluation__converted_checkpoints__clt_multilingual_paper_spm32k_permanent__deu_Latn__wechsel-init-paper-spm32k-deu_Latn/results_2026-02-17T02-30-41.253354.json
DE-Trans-Init (Paper-Tokenizer),wechsel-init-paper-spm32k-deu_Latn,global_mmlu_full_de_anatomy,anatomy,subtask,0.22962962962962963,22.962962962962962,0.03633384414073465,3.633384414073465,135,  - global_mmlu_full_de_anatomy,logs/eval_pipeline/runs/2026-02-17_01-46-49/evaluation/results/universal/clt_multi_mmlu_paper_deu_Latn/wechsel-init-paper-spm32k-deu_Latn_global_mmlu_de_0shot_20260217_022407/__netscratch__nrauscher__projects__BA-hydra__evaluation__converted_checkpoints__clt_multilingual_paper_spm32k_permanent__deu_Latn__wechsel-init-paper-spm32k-deu_Latn/results_2026-02-17T02-30-41.253354.json
DE-Trans-Init (Paper-Tokenizer),wechsel-init-paper-spm32k-deu_Latn,global_mmlu_full_de_astronomy,astronomy,subtask,0.3355263157894737,33.55263157894737,0.03842498559395269,3.8424985593952687,152,  - global_mmlu_full_de_astronomy,logs/eval_pipeline/runs/2026-02-17_01-46-49/evaluation/results/universal/clt_multi_mmlu_paper_deu_Latn/wechsel-init-paper-spm32k-deu_Latn_global_mmlu_de_0shot_20260217_022407/__netscratch__nrauscher__projects__BA-hydra__evaluation__converted_checkpoints__clt_multilingual_paper_spm32k_permanent__deu_Latn__wechsel-init-paper-spm32k-deu_Latn/results_2026-02-17T02-30-41.253354.json
DE-Trans-Init (Paper-Tokenizer),wechsel-init-paper-spm32k-deu_Latn,global_mmlu_full_de_business_ethics,business_ethics,subtask,0.21,21.0,0.040936018074033256,4.093601807403326,100,  - global_mmlu_full_de_business_ethics,logs/eval_pipeline/runs/2026-02-17_01-46-49/evaluation/results/universal/clt_multi_mmlu_paper_deu_Latn/wechsel-init-paper-spm32k-deu_Latn_global_mmlu_de_0shot_20260217_022407/__netscratch__nrauscher__projects__BA-hydra__evaluation__converted_checkpoints__clt_multilingual_paper_spm32k_permanent__deu_Latn__wechsel-init-paper-spm32k-deu_Latn/results_2026-02-17T02-30-41.253354.json
DE-Trans-Init (Paper-Tokenizer),wechsel-init-paper-spm32k-deu_Latn,global_mmlu_full_de_clinical_knowledge,clinical_knowledge,subtask,0.2981132075471698,29.81132075471698,0.028152837942493875,2.8152837942493876,265,  - global_mmlu_full_de_clinical_knowledge,logs/eval_pipeline/runs/2026-02-17_01-46-49/evaluation/results/universal/clt_multi_mmlu_paper_deu_Latn/wechsel-init-paper-spm32k-deu_Latn_global_mmlu_de_0shot_20260217_022407/__netscratch__nrauscher__projects__BA-hydra__evaluation__converted_checkpoints__clt_multilingual_paper_spm32k_permanent__deu_Latn__wechsel-init-paper-spm32k-deu_Latn/results_2026-02-17T02-30-41.253354.json
DE-Trans-Init (Paper-Tokenizer),wechsel-init-paper-spm32k-deu_Latn,global_mmlu_full_de_college_biology,college_biology,subtask,0.2638888888888889,26.38888888888889,0.03685651095897532,3.6856510958975317,144,  - global_mmlu_full_de_college_biology,logs/eval_pipeline/runs/2026-02-17_01-46-49/evaluation/results/universal/clt_multi_mmlu_paper_deu_Latn/wechsel-init-paper-spm32k-deu_Latn_global_mmlu_de_0shot_20260217_022407/__netscratch__nrauscher__projects__BA-hydra__evaluation__converted_checkpoints__clt_multilingual_paper_spm32k_permanent__deu_Latn__wechsel-init-paper-spm32k-deu_Latn/results_2026-02-17T02-30-41.253354.json
DE-Trans-Init (Paper-Tokenizer),wechsel-init-paper-spm32k-deu_Latn,global_mmlu_full_de_college_chemistry,college_chemistry,subtask,0.41,41.0,0.04943110704237103,4.943110704237103,100,  - global_mmlu_full_de_college_chemistry,logs/eval_pipeline/runs/2026-02-17_01-46-49/evaluation/results/universal/clt_multi_mmlu_paper_deu_Latn/wechsel-init-paper-spm32k-deu_Latn_global_mmlu_de_0shot_20260217_022407/__netscratch__nrauscher__projects__BA-hydra__evaluation__converted_checkpoints__clt_multilingual_paper_spm32k_permanent__deu_Latn__wechsel-init-paper-spm32k-deu_Latn/results_2026-02-17T02-30-41.253354.json
DE-Trans-Init (Paper-Tokenizer),wechsel-init-paper-spm32k-deu_Latn,global_mmlu_full_de_college_computer_science,college_computer_science,subtask,0.33,33.0,0.047258156262526045,4.725815626252604,100,  - global_mmlu_full_de_college_computer_science,logs/eval_pipeline/runs/2026-02-17_01-46-49/evaluation/results/universal/clt_multi_mmlu_paper_deu_Latn/wechsel-init-paper-spm32k-deu_Latn_global_mmlu_de_0shot_20260217_022407/__netscratch__nrauscher__projects__BA-hydra__evaluation__converted_checkpoints__clt_multilingual_paper_spm32k_permanent__deu_Latn__wechsel-init-paper-spm32k-deu_Latn/results_2026-02-17T02-30-41.253354.json
DE-Trans-Init (Paper-Tokenizer),wechsel-init-paper-spm32k-deu_Latn,global_mmlu_full_de_college_mathematics,college_mathematics,subtask,0.31,31.0,0.04648231987117316,4.648231987117316,100,  - global_mmlu_full_de_college_mathematics,logs/eval_pipeline/runs/2026-02-17_01-46-49/evaluation/results/universal/clt_multi_mmlu_paper_deu_Latn/wechsel-init-paper-spm32k-deu_Latn_global_mmlu_de_0shot_20260217_022407/__netscratch__nrauscher__projects__BA-hydra__evaluation__converted_checkpoints__clt_multilingual_paper_spm32k_permanent__deu_Latn__wechsel-init-paper-spm32k-deu_Latn/results_2026-02-17T02-30-41.253354.json
DE-Trans-Init (Paper-Tokenizer),wechsel-init-paper-spm32k-deu_Latn,global_mmlu_full_de_college_medicine,college_medicine,subtask,0.3352601156069364,33.52601156069364,0.03599586301247078,3.599586301247078,173,  - global_mmlu_full_de_college_medicine,logs/eval_pipeline/runs/2026-02-17_01-46-49/evaluation/results/universal/clt_multi_mmlu_paper_deu_Latn/wechsel-init-paper-spm32k-deu_Latn_global_mmlu_de_0shot_20260217_022407/__netscratch__nrauscher__projects__BA-hydra__evaluation__converted_checkpoints__clt_multilingual_paper_spm32k_permanent__deu_Latn__wechsel-init-paper-spm32k-deu_Latn/results_2026-02-17T02-30-41.253354.json
